RU,10,698,TransparentCalls,0.850000,521,80,54
US,93,499,E-Voice,0.910000,230,14,21
GB,5,1030,TransparentCalls,0.750000,182,2,23
FR,45,277,TransparentCalls,0.730000,597,13,37
BL,4,1374,E-Voice,0.920000,147,40,39
AT,30,1168,TransparentCalls,0.690000,907,39,50
BG,16,1308,E-Voice,0.820000,936,59,59
DK,80,837,JustPhone,0.640000,319,36,52
CA,67,566,JustPhone,0.660000,846,8,42
ES,90,186,E-Voice,0.680000,800,19,36
CH,96,500,JustPhone,0.960000,245,70,44
TR,64,480,TransparentCalls,0.630000,863,42,12
PE,60,1208,JustPhone,0.650000,742,12,11
NZ,87,1479,JustPhone,0.630000,516,82,60
MC,84,90,E-Voice,0.910000,914,17,36
